Sponsor,Center,Count
Mars Foundation,"San Juan, Puerto Rico",2
Mars Foundation,"Cape Town, South Africa",1
Martha's Vineyard Commission,"Cape Town, South Africa",1
Martha's Vineyard Historical Society,New Zealand,4
Martha's Vineyard Historical Society,"Venice, Italy",3
Martha's Vineyard Historical Society,Microsoft Corporation,1
Martha's Vineyard Historical Society,Worcester Community Project Center,1
MarViva,Costa Rica,8
MarViva,Puerto Rico,2
MarViva Foundation,Costa Rica,1
Mary Fowler Worcester State University,Microsoft Corporation,1
Mass Audubon,"Hong Kong, China",1
Mass Audubon,Worcester Community Project Center,1
Mass Department of Energy Resources,"Boston, Massachusetts",1
Mass. Statewide Municipal Stormwater Coalition,"Venice, Italy",3
Massachusetts Academy,"Washington, DC",4
Massachusetts Academy,Worcester Community Project Center,1
Massachusetts Audubon Society,"Melbourne, Australia",4
Massachusetts Biomedical Initiatives,"Worcester, MA",2
Massachusetts Biomedical Initiatives,Worcester Community Project Center,1
Massachusetts Clean Energy Center,"Boston, Massachusetts",1
Massachusetts Department of Conservation Recreatio,"Worcester, MA",1
Massachusetts Department of Energy Resources,"Boston, Massachusetts",2
Massachusetts Department of Energy Resources (MA D,"Boston, Massachusetts",1
Massachusetts Department of Environmental Protecti,"Boston, Massachusetts",1
Massachusetts Department of Environmental Protecti,Worcester Community Project Center,1
Massachusetts Department of Mental Retardation,"Sante Fe, New Mexico",4
Massachusetts Department of Public Health,"Boston, Massachusetts",3
Massachusetts Dept. of Mental Health,"Cape Town, South Africa",6
Massachusetts Energy and Environmental Affairs,"Boston, Massachusetts",2
Massachusetts General Hospital,Microsoft Corporation,4
Massachusetts High Technology Council,"Hong Kong, China",3
Massachusetts High Technology Council,New Zealand,3
Massachusetts Institute of Technology Sea Grant,"Boston, Massachusetts",2
Massachusetts Manufacturing Extension Partnership; NIST Manufacturing Extension Partnership,"Washington, DC",1
Massachusetts Office of Technical Assistance,"London, England",1
Massachusetts School Nurse Organizatoin,"San Juan, Puerto Rico",2
Massachusetts State Senator Jamie Eldridge's Offic,Worcester Community Project Center,2
Massachusetts State Senator Robert Antonioni,"Melbourne, Australia",1
MassCAN,"Bangkok, Thailand",1
MassDEP,"Boston, Massachusetts",5
MassDEP,Worcester Community Project Center,2
MassDEP & CMRSC,Worcester Community Project Center,1
MassDEP and MassDOT,"San Juan, Puerto Rico",1
Massport,"London, England",2
Massport,"Venice, Italy",2
Massport,"Windhoek, Namibia",1
Matt Pecos and Kimball Sekaquaptewa,"Sante Fe, New Mexico",6
Mayer H. Humi,"Nantucket, Massachusetts",4
Mayer Humi,"Bangkok, Thailand",1
McNeil Consumer Healthcare,"San Juan, Puerto Rico",1
Mechanics Hall,"Venice, Italy",7
Megan Gooch: Department of Coins and Medals: Briti,"London, England",4
Melbourne Fire Brigade,"Melbourne, Australia",1
Melbourne Museum,"Melbourne, Australia",2
"Melbourne Museum, Melbourne, Australia","Washington, DC",2
Melbourne Project Center,"Melbourne, Australia",3
Memorial Hospital,Morocco,1
Men on the Side of the Road,Namibia,2
Men on the Side of the Road,"Hong Kong, China",1
Men on the Side of the Road Namibia,Costa Rica,4
"Merton City Council, London, England","London, England",2
Merton Council,"London, England",1
Merton Council London,"Zurich, Switzerland",4
Merton Council London,"San Jose, Costa Rica",2
Merton Council London,Worcester Community Project Center,2
Merton Council London,"Venice, Italy",1
"Merton Council, London, England","Cape Town, South Africa",2
"Merton Council, London, England","Melbourne, Australia",1
"Merton Department of Education, Leisure, and Libraries","Venice, Italy",2
Merton Housing and Social Services Department,"Melbourne, Australia",2
"Merton Housing and Social Services Department, London, England","Melbourne, Australia",6
"Merton Housing and Social Services Department, SPPRU, London, England","Melbourne, Australia",1
Merton Partnership,"London, England",1
"Merton Tourism Group, London, England",Costa Rica,2
Metropolitan Fire and Emergency Services Board,"Melbourne, Australia",8
Metropolitan Fire Brigade,"Melbourne, Australia",4
Metropolitan Fire Brigade,"Venice, Italy",2
Metropolitan Planning Organization,"Sante Fe, New Mexico",1
Metropolitan Police Services,"London, England",3
MHTC,"San Jose, Costa Rica",1
MHTC,"Venice, Italy",1
"Michael Jensen, Søren Grotum, Jørgen Bak, Danish Association of the Blind","Copenhagen, Denmark",2
Michael Radzici,"San Juan, Puerto Rico",1
Microsoft Corporation,Microsoft Corporation,3
"Mid-County Regional Services Center, Montgomery County, Maryland","Melbourne, Australia",1
Mike Carroll/Worcester Academy,"Copenhagen, Denmark",3
"Mike McCummisky, Tony Paynter, Glenn Cumming","Melbourne, Australia",1
Mikma,Russia,1
Miljøpunkt Østerbro,"Copenhagen, Denmark",1
Miljøpunkt Amager,"Copenhagen, Denmark",8
Miljøpunkt Amager,"Sante Fe, New Mexico",3
Miljøpunkt Indre By & Christianshavn,"Venice, Italy",7
Miljøpunkt Nørrebro,"Copenhagen, Denmark",5
MiljÃ¸punkt Amager,"Copenhagen, Denmark",1
Miljopunk Amager,"Copenhagen, Denmark",1
Miljopunkt Amager,"Copenhagen, Denmark",2
Miljopunkt Indre By,"Copenhagen, Denmark",1
Miljopunkt Indre By-Christianshavn,"Copenhagen, Denmark",5
Miljopunkt Indre-By Christianshavn,"Copenhagen, Denmark",1
Miljopunkt Norrebro,"Copenhagen, Denmark",4
Millbury Jr./Sr. High School,"London, England",1
"Ministry of Health, Cyprus","San Jose, Costa Rica",3
MIRAD Lab,"Venice, Italy",2
MIRAD Lab,"Bangkok, Thailand",1
MIRAD Laboratory,"Melbourne, Australia",1
MIRAD Laboratory,"Nantucket, Massachusetts",1
MIRAD Laboratory,"Washington, DC",1
MIT Sea Grant,"Boston, Massachusetts",6
Mohammed Elbaz,"Ifrane, Morocco",2
Mohammed VI Center for the Disabled,Morocco,2
Mohegan Council - Boy Scouts of America,"Zurich, Switzerland",1
Mole Valley District Council,"London, England",1
Monica Blondin,Puerto Rico,2
Montachusett Regional Planning Commission,"Melbourne, Australia",1
Monteverde Community Fund,"Melbourne, Australia",1
Monteverde Conservation League,"Bangkok, Thailand",1
Montgomery County Department of Public Libraries,"Washington, DC",2
Montgomery County Department of Transportation,"Washington, DC",5
Montgomery County Government,"Washington, DC",6
Monwabisi Park C-Section Street Committee,"Cape Town, South Africa",1
Moreland City Council,"Melbourne, Australia",1
Moreland Energy Foundation Limited,"Melbourne, Australia",1
Moreland Energy Foundation Ltd.,"Melbourne, Australia",5
Moreland Energy Foundation Ltd. (MEFL),"Melbourne, Australia",1
Motor Vehicle Accident Fund of Namibia,Namibia,1
Mount Auburn Cemetery,"Zurich, Switzerland",2
Mr. Abdellah Sassioui,Namibia,1
Mr. Ken Hullock,"London, England",2
Ms. Frieda Shimbuli,"Windhoek, Namibia",1
Ms. Sue Walton,"London, England",1
MSR,Namibia,5
"Mt. View Cemetery, Shrewsbury, MA",New Zealand,1
Municipio de San Juan,Puerto Rico,1
Museer I København,"Copenhagen, Denmark",4
Museo de Las Conceptas,"Melbourne, Australia",1
Museo de los Ninos,Costa Rica,1
Museum of Homelessness,"London, England",2
Museum of London,"London, England",2
Museum of London,"Panama City, Panama",1
Museum of London,"Washington, DC",1
Museum of New Zealand Te Papa Tongarewa,New Zealand,7
Museum of Science,"Boston, Massachusetts",6
"Museum of Science, Boston","Hong Kong, China",6
"Museum of Science, Boston","Worcester, MA",2
"Museum of Science, Boston","San Jose, Costa Rica",1
Museum of Wellington City & Sea,New Zealand,1
Museum Victoria,"Melbourne, Australia",6
Museum Victoria Scienceworks,"Melbourne, Australia",1
Museums in Copenhagen (MIK),"Copenhagen, Denmark",2
Museums Victoria,"Melbourne, Australia",6
Museums Victoria,"Copenhagen, Denmark",3
Museums Victoria,"Sante Fe, New Mexico",1
Mustapha Fofana,"Copenhagen, Denmark",2
MVA Fund,Namibia,3
MWC,Worcester Community Project Center,1
Myomo,"Melbourne, Australia",2
NABCOA,Namibia,3
NÃ¸rrebro Agenda 21,"Copenhagen, Denmark",3
Namibia Business Coalition on AIDS,Namibia,1
Namibia Development Trust,"Windhoek, Namibia",1
Namibia Housing Action Group,"Windhoek, Namibia",1
Namibia Housing Action Group & The Polytechnic of,"Windhoek, Namibia",3
Namibia Project Center,New Zealand,3
Namibia Tourism Board,Namibia,8
Namibia Tourism Board,"Windhoek, Namibia",6
Namibian Business Coalition on AIDS (NABCOA),"Windhoek, Namibia",3
"Nantucket Atheneum, Nantucket Town & County Clerk'","Nantucket, Massachusetts",3
Nantucket Board of Health,"Nantucket, Massachusetts",1
Nantucket Commission on Disability,"Nantucket, Massachusetts",2
Nantucket Data Platform,"Nantucket, Massachusetts",1
Nantucket Department of Public Works,"Nantucket, Massachusetts",2
Nantucket Dept. of Natural Resources,"Nantucket, Massachusetts",2
Nantucket DPW,"San Jose, Costa Rica",1
Nantucket Emergency Management,"Nantucket, Massachusetts",3
Nantucket Energy Office,"Nantucket, Massachusetts",7
Nantucket Energy Study Committee,"Nantucket, Massachusetts",4
Nantucket Fire Department,"Nantucket, Massachusetts",2
Nantucket Historical Association,"Nantucket, Massachusetts",3
Nantucket Historical Association,"Venice, Italy",2
Nantucket Island Chamber of Commerce,"Nantucket, Massachusetts",1
Nantucket Land Council (NLC),"London, England",1
Nantucket Memorial Airport,"Nantucket, Massachusetts",1
Nantucket Planning Office,"London, England",7
Nantucket Planning Office,"Nantucket, Massachusetts",6
Nantucket Town Manager's Office,"Nantucket, Massachusetts",9
"Naomi Martin, Commonside Community Development Tru","London, England",3
NASA,"Washington, DC",2
Natick Soldier Center,"Bar Harbor, Maine",13
Natick Soldier Center,"Venice, Italy",1
National Art Library,"London, England",2
"National Art Library, London, England","Hong Kong, China",2
"National Art Library, London, England","London, England",1
National Association of State Fire Marshals,"Washington, DC",2
National Center for Appropriate Technology,"Venice, Italy",4
National Center for Appropriate Technology,Namibia,1
national center for appropriate technology,Worcester Community Project Center,1
National Center for Environmental Research,"Washington, DC",1
National Center for Science and Civic Engagement,"Washington, DC",3
National Cleaner Production Center of Costa Rica,"San Jose, Costa Rica",2
National Grid,"Bangkok, Thailand",5
National Grid,"Hong Kong, China",3
National Grid,Costa Rica,2
National Grid,"Zurich, Switzerland",1
"National Guard Armoury, Worcester, MA","Venice, Italy",2
National Institute of Biodiversity,Costa Rica,1
National Museum of Denmark,"Copenhagen, Denmark",2
"National Museum of Denmark, Copenhagen, Denmark",Worcester Community Project Center,4
"National Museum of Denmark, Copenhagen, Denmark",New Zealand,1
"National Museum of Denmark, Frilandsmuseet, the National Museum","Venice, Italy",7
National Museum of Namibia,Namibia,2
National Museum of Namibia,India,1
National Museum of Science and Industry,"Washington, DC",3
National Museum of Science and Industry,Albania,2
National Museum of Science and Industry,"Ifrane, Morocco",2
National Museum of Science and Industry,"Venice, Italy",1
National Museums of Thailand,Puerto Rico,3
"National Museums of Thailand, Bangkok, Thailand","Ifrane, Morocco",1
National Oceanic & Atmospheric Administration,"Venice, Italy",6
National Oceanic & Atmospheric Administration,"Sante Fe, New Mexico",1
National Oceanic and Atmospheric Administration,"Washington, DC",1
National Oceanic and Atmospheric Administration (N,"Washington, DC",2
National Park Service,"Washington, DC",1
National Park Service - Rock Creek Park,Microsoft Corporation,2
National Park Service (NPS-NAMA),Namibia,4
National Science and Technology Development Agency,"Bangkok, Thailand",3
National Science Foundation,"Washington, DC",9
National Science Foundation,Worcester Community Project Center,5
National Science Foundation,"San Juan, Puerto Rico",4
National Science Foundation,"Panama City, Panama",3
National Science Foundation,Microsoft Corporation,2
National Science Foundation,New Zealand,2
National Science Foundation,"San Jose, Costa Rica",2
National Science Foundation,"Boston, Massachusetts",1
National Science Foundation,"Melbourne, Australia",1
National Science Foundation,"Sante Fe, New Mexico",1
National Sea Grant College Program,Namibia,6
National Sea Grant College Program,"Melbourne, Australia",1
National Sea Grant College Program; University of Puerto Rico - Rio Piedras,"Hong Kong, China",5
National Society of Professional Engineers,"San Juan, Puerto Rico",2
"National Society of Professional Engineers, Washington, DC","Venice, Italy",1
"National Spent Fuel Collaborative, Inc.","Boston, Massachusetts",2
"National Taiwan University, Taipei, Taiwan, R.O.C","Washington, DC",1
National Transportation Safety Board,"Washington, DC",1
"Natural Resources Department, Town of Nantucket","Nantucket, Massachusetts",2
NBB productions,"Nantucket, Massachusetts",2
NCD,"Nantucket, Massachusetts",2
Neil Heffernan,"Hong Kong, China",1
"Neilson Hays Library, Bangkok, Thailand","Cape Town, South Africa",1
NEVA Electromagnetics,"Melbourne, Australia",4
New Bedford Wind Energy Center/Mayor's Office,Worcester Community Project Center,1
New England Aquarium,"Boston, Massachusetts",10
New England Chapter AIAA,Worcester Community Project Center,2
New England Chapter AIAA,"San Juan, Puerto Rico",1
New Mexico Department of Transportation,"Sante Fe, New Mexico",1
New Mexico DOT,"Sante Fe, New Mexico",1
New Zealand Department of Conservation,Namibia,1
Newton Planning and Development Department,"Boston, Massachusetts",1
Newton Square chiropractic,Worcester Community Project Center,1
Nicola Bray,"London, England",3
"Nipmuc Nation, The New England Native American Institute","Sante Fe, New Mexico",2
NM Department of Transportation,"Melbourne, Australia",1
NMDOT-ITS,"Sante Fe, New Mexico",2
NOAA,"Washington, DC",4
NOAH (Friends of the Earth),"Venice, Italy",1
non,"Copenhagen, Denmark",2
None,Puerto Rico,2
"Nong Din Dam and Charoen Chai Rural Development Program, Nong Din Dam, Thailand","Hong Kong, China",3
North East Water Innovation Network (NEWIN),"Boston, Massachusetts",1
North High School,"Venice, Italy",4
North High School,"Washington, DC",4
North High School,"San Jose, Costa Rica",3
North High School,"Cape Town, South Africa",2
North High School,Worcester Community Project Center,2
North High School,"Sante Fe, New Mexico",1
"North High, Worcester, MA","Worcester, MA",1
Northeast Organic Farming Association,Worcester Community Project Center,2
Northeast Organic Farming Association,"London, England",1
Notre Dame Academy,"Melbourne, Australia",1
NSF,"London, England",2
NSF,"Washington, DC",2
NTB,"Bangkok, Thailand",3
NTB,"Zurich, Switzerland",1
"NTB Buchs, Switzerland","Zurich, Switzerland",1
NTB-Interstate University of Applied Sciences,"Zurich, Switzerland",5
Nuestro Huerto,"Bangkok, Thailand",1
Nuestro Huerto,Worcester Community Project Center,1
NUST,Namibia,3
NUST Division of Health & Applied Sciences,"Copenhagen, Denmark",2
NUST Division of Health & Applies Sciences,"Zurich, Switzerland",1
NUST Teaching & Learning Unit,Morocco,1
NZ Department of Conservation,New Zealand,3
Oak Hill Community Development Corporation,Worcester Community Project Center,1
Oakton High School,"Washington, DC",1
Office of Business Development,"Boston, Massachusetts",2
Office of Disability Services,Puerto Rico,3
Office of Her Royal Highness Princess Maha Chakri,"Bangkok, Thailand",2
Office of HRH Princess Maha Chakri Sirindhorn's Pr,"Bangkok, Thailand",1
Office of Multicultural Affairs,Russia,1
Office of Senator Harriette Chandler,Worcester Community Project Center,2
Okahandja Municipality,"Windhoek, Namibia",1
O'Keeffe Museum,"Sante Fe, New Mexico",2
Oko-net,"Venice, Italy",1
Old Sturbridge Village,Namibia,7
Old Sturbridge Village,New Zealand,5
Old Sturbridge Village,"Ifrane, Morocco",2
Old Sturbridge Village,Costa Rica,1
Olsson Fire & Risk,"Melbourne, Australia",2
Open Streets Cape Town,"Cape Town, South Africa",2
Orleans House Gallery,"London, England",2
"Osservatorio Casa of Venice, Italy","Cape Town, South Africa",3
"Osservatorio Naturalistico della Laguna, Museo di","Venice, Italy",2
Otiema University and Batipa Field Institute,"Melbourne, Australia",1
OTTOnomy,India,1
OTTOnomy,"Windhoek, Namibia",1
Outdoor Albania Association,Albania,2
"Ove Arup and Partners, Melbourne, Australia","Ifrane, Morocco",1
Overlook Farm,Morocco,2
Palang Thai,"Bangkok, Thailand",1
Para la Naturaleza,Puerto Rico,13
Para La Naturaleza,Puerto Rico,2
Park Spirit of Worcester,Worcester Community Project Center,2
Park Spirit of Worcester Inc.,Worcester Community Project Center,1
Parque de Diversiones,"San Jose, Costa Rica",3
Parque Doña Inés,"San Juan, Puerto Rico",1
Partners Albania,Albania,1
Paul Zimmerman,"Hong Kong, China",1
Paxton HIstoric District Study Committee,Worcester Community Project Center,2
Pedro Rios (U.S. Forest Service),Puerto Rico,1
PERCEPTIONS OF SURGICAL ROBOTICS,New Zealand,1
Perrotis College,Costa Rica,5
Perrotis College,"Sante Fe, New Mexico",2
Perrotis College,"Worcester, MA",2
Perrotis College,"Boston, Massachusetts",1
Perrotis College,"London, England",1
Perrotis College,"Melbourne, Australia",1
Perrotis College,Namibia,1
Perrotis College,Puerto Rico,1
"Perrotis College, American Farm School",Morocco,1
Peter J. van Wyk and Aina Heita,"Windhoek, Namibia",1
Peter McDonald,"London, England",1
"Peter McDonald, Croydon Council","London, England",1
Philippi Music Project,"Cape Town, South Africa",1
Physically Active Youth,"Venice, Italy",1
Pilgrim Benefice Heritage Project,"Melbourne, Australia",2
"PIP Shelter, Worcester, MA","Venice, Italy",10
"Piping Systems, Inc","Venice, Italy",8
Plant Services,"Venice, Italy",1
Playing for Change Foundation,"Cape Town, South Africa",1
Polaroid Corporation,"Worcester, MA",2
Polytechnic of Namibia,"Windhoek, Namibia",5
Polytechnic of Namibia,Namibia,4
"Polytechnic of Namibia, SHAS",Namibia,3
Population and Community Development Association,"Bangkok, Thailand",6
Population Services International,"Bangkok, Thailand",3
Port Philip EcoCentre,"Melbourne, Australia",3
Port Phillip EcoCentre,"Venice, Italy",7
Port Phillip EcoCentre,"Melbourne, Australia",2
PRASA,"San Juan, Puerto Rico",5
Prefecture De Rabat,Morocco,4
Prefecture of Rabat,Morocco,3
PricewaterhouseCoopers Russia,Russia,2
Princeton Historical Society,Worcester Community Project Center,2
Prisoners Abroad,Morocco,2
Prof. Guillermo Salazar,"Hong Kong, China",1
Prof. Heffernan,Namibia,1
Prof. Holly K. Ault,"Melbourne, Australia",2
Prof. Winnie Cheng of the Hong Kong Polytechnic Un,"Hong Kong, China",1
Professor Doctor Karin Kovar,"Zurich, Switzerland",5
"Professor Einar Nielsen, NTB Buchs","Zurich, Switzerland",1
Professor Phillies,"Bangkok, Thailand",1
Professor Susan Vernon-Gerstenfeld,"Boston, Massachusetts",1
Professors Hendrik Tieben and Sujata Govada of The,"Hong Kong, China",3
Programa Nacional de Humedales,"Melbourne, Australia",3
Project  Caribe GE,"London, England",3
Project  Charity Logistics London,"San Jose, Costa Rica",4
Project  Colegio Tecnologico del Municipio de San Juan,"Venice, Italy",4
"Project  CSA Group, San Juan",Namibia,4
Project  Danmarks elektriske materielkontrol,"Venice, Italy",1
Project  Dansk Cyklist Forbund,New Zealand,3
Project  Dansk Cyklist Forbund,"Venice, Italy",1
"Project  Duang Prateep Foundation, Bangkok, Thailand",Albania,2
"Project  Engineering College of Copenhagen, Denmark",Albania,3
Project  Genetic Interest Group,"Washington, DC",1
Project  Guide Dogs for the Blind Association,"Venice, Italy",2
Project  Guide Dogs for the Blind Association,"San Jose, Costa Rica",1
Project  Heliotronics,"Copenhagen, Denmark",1
Project  International Institute of Tropical Forestry,"Hong Kong, China",1
Project  John Grooms,"Washington, DC",1
"Project  Marketing and Promotion, Puerto Rico Tourism Company","Melbourne, Australia",3
Project  Merton Council London,"Venice, Italy",4
Project  Merton Council London,"Hong Kong, China",1
Project  Mirror Art Group,"Cape Town, South Africa",2
Project  National Danish Museum,"Hong Kong, China",3
"Project  Puerto Rico Down Syndrome Foundation, Inc. (Fundacion Puertorriquena Sindrome Down)","Sante Fe, New Mexico",1
Project  Royal Air Force Museum,"Hong Kong, China",2
Project  Sejlklubben for Blinde og Svagsynede i Danmark,India,3
"Project  Speech, Language and Hearing Centre","Venice, Italy",1
"Project  Technische Universitat-Darmstadt, Darmstadt, Germany","Washington, DC",1
"Project  United States Department of the Interior, Geological Survey, Caribbean District, Guaynabo, Puerto Rico",New Zealand,1
Project Link Investments,"San Jose, Costa Rica",2
Protik ICT Resource Center,Albania,2
"Providence Public Library, Providence, RI","Venice, Italy",1
Provincial Government of Azuay,Worcester Community Project Center,2
Pueblo of Santa Ana,"Sante Fe, New Mexico",3
Pueblo of Santo Domingo,"Sante Fe, New Mexico",4
Puerto Rican Aqueduct and Sewer Authority,"San Juan, Puerto Rico",2
Puerto Rico Department of Natural and Environmental Resources,Puerto Rico,1
Puerto Rico Energy Affairs Administration,Puerto Rico,2
Puerto Rico Energy Affairs Administration,"San Juan, Puerto Rico",2
Puerto Rico Planning Board,Puerto Rico,1
Puerto Rico Sea Grant,Puerto Rico,1
Puerto Rico Tourism Company,Puerto Rico,2
Puerto RicoDepartment of Natual and Environmental,"San Juan, Puerto Rico",2
Puerto RicoDepartment of Natual and Environmental,"Venice, Italy",1
Puma Energy,Puerto Rico,1
Punto Verde,"San Juan, Puerto Rico",1
"Punto Verde PT, San Juan, Puerto Rico","San Jose, Costa Rica",2
PwC,Russia,1
Qi Liu,"Melbourne, Australia",1
Qianli Technologies,New Zealand,1
Qiantu Inc.,"Hangzhou, China",2
Queen Sirikit Centre for Breast Cancer,"Bangkok, Thailand",1
Quincy Public Works,"London, England",2
Quinsigamond Community College,"Sante Fe, New Mexico",1
RADAR,"London, England",3
Radisson-Slavyanskaya Hotel; Financial University,Russia,1
Raewyn Empson,New Zealand,1
Rain Forest Aerial Tram Foundation,"Washington, DC",1
"Rain Forest Aerial Tram Foundation, San Jose, Costa Rica","San Jose, Costa Rica",2
"Rain Forest Aerial Tram, San Jose, Costa Rica","Melbourne, Australia",1
Raks Thai Foundation,"Bangkok, Thailand",7
"Raks Thai Foundation, Chiang Mai","Bangkok, Thailand",1
Raks Thai Foundation-Mahachai Office,"Bangkok, Thailand",1
RASP: Rural Association Support Programme,Albania,4
Raymond Dill,"London, England",3
RaySafe,"Cape Town, South Africa",3
Recycle Albania,Albania,1
Red Cross,"Melbourne, Australia",5
Refugee Artisans of Worcester,"Hong Kong, China",2
Reginald Kgwedi and Stephan Krygsman,Namibia,1
Regional Environmental Council,New Zealand,3
Regional Environmental Council,Worcester Community Project Center,2
Regional Environmental Council,"Venice, Italy",1
Regional Environmental Council Food Justice Progra,Worcester Community Project Center,1
Regional Environmental Council Food Justice Progra,"Worcester, MA",1
"Regional Environmental Council, Inc",Namibia,1
"Regional Services Centers, Montgomery County, Maryland","London, England",2
Reigate & Banstead Borough Council,"London, England",1
ReMain Nantucket and Town of Nantucket Planning an,"Nantucket, Massachusetts",1
RenoSam,"Copenhagen, Denmark",9
Rep. Anne M. Gobi,"Boston, Massachusetts",2
Representative Anne Gobi,"Boston, Massachusetts",1
RESET Venezia,"Venice, Italy",1
Reset Venezia,"Venice, Italy",1
Ribat Al Fatah,Morocco,1
Ribat Al Fath,Morocco,8
Ribat Al Fath,"Melbourne, Australia",2
"Rice School, Holden, MA","London, England",10
Rice Seed Center of Nakhon Sawan,"Bangkok, Thailand",1
Rita Zniber Foundation,Morocco,1
"River Source, Santa Fe Indian School","Sante Fe, New Mexico",1
Roadify,"Copenhagen, Denmark",1
Rob Llewellyn,"Melbourne, Australia",1
Robert Antonelli Jr.,Worcester Community Project Center,1
"Robert Schultz, DRFN","Windhoek, Namibia",5
Rodney Obien,Costa Rica,1
Roong Aroon School,"Bangkok, Thailand",1
Rotary Venezia,"London, England",2
Royal Armouries,"London, England",2
Royal Armouries at Fort Nelson,"London, England",1
Royal Armouries at the Tower of London,"London, England",5
"Royal Armouries, White Tower, HM Tower of London","Venice, Italy",1
Royal Borough of Kingston Council,"London, England",2
Royal Botanic Gardens,"Melbourne, Australia",3
Royal Geographical Society (with IBG),"London, England",1
Royal Hospital for Neuro-disability,Namibia,3
Royal Hospital for Neuro-disability,Costa Rica,1
Royal Hospital for Neuro-disability,"Melbourne, Australia",1
Royal Institution of Chartered Surveyors,"London, England",1
Royal National Institute for the Blind,"Venice, Italy",2
Royal Project Foundation,"Bangkok, Thailand",1
"Royal Projects, Bangkok, Thailand",Namibia,2
Rural Association Support Programme (RASP),Albania,1
Russian Academy of Sciences,Russia,1
Sailcargo Inc.,"Melbourne, Australia",1
Saint Gobain,"Lille, France",1
"Saint John's Parish, Worcester, MA","Cape Town, South Africa",8
Saint Vincent Hospital,"Boston, Massachusetts",1
Saint Vincent Hospital,"Venice, Italy",1
Saint-Gobain,"Lille, France",2
Samaritans of Boston,"Bangkok, Thailand",1
Santa Ana Pueblo,"Sante Fe, New Mexico",3
Santa Fe Indian School,"Sante Fe, New Mexico",7
Santa Fe Metropolitan Planning Organization,"Sante Fe, New Mexico",3
Santa Fe Trails,"Sante Fe, New Mexico",9
Santa Fe Trails,"Venice, Italy",1
Santa Fe Watershed Association,"Sante Fe, New Mexico",3
Sarah Ho,"London, England",1
Sati Foundation,"Bangkok, Thailand",5
Satya Shivkumar,Puerto Rico,1
Satya Shivkumar,"San Juan, Puerto Rico",1
School Energy,"Nantucket, Massachusetts",1
"School of Environmental Affairs, Universidad Metropolitana",New Zealand,4
"School of Global Health, Thammasat University","Bangkok, Thailand",1
"School of Global Studies, Thammasat University","Bangkok, Thailand",4
School of Professional Education,"Bangkok, Thailand",1
Science Museum,"London, England",4
Science Museum in London,"London, England",2
"Science Museum in London, England","Windhoek, Namibia",1
Science Museum London,"London, England",1
"Science Museum, London","London, England",1
Science Shop at DTU,"Copenhagen, Denmark",1
"Scientific Services Laboratory, Melbourne, Australia",India,3
"Scientific Services Laboratory, Melbourne, Australia","Copenhagen, Denmark",1
Scott Jiusto,"Venice, Italy",2
SDA,"London, England",1
"Sea Grant, University of Puerto Rico",Namibia,3
SEA START Regional Centre,Worcester Community Project Center,4
Senator Eldridge's Office,Worcester Community Project Center,1
Senator Harriette Chandler,Worcester Community Project Center,5
Senator Michael Moore,Worcester Community Project Center,3
Sendero Pacífico,"Melbourne, Australia",3
SerenDPT,"Melbourne, Australia",6
SerenDPT,Worcester Community Project Center,3
SerenDPT,"Hong Kong, China",1
Service Dining Rooms,"Cape Town, South Africa",5
Seven Hills,Worcester Community Project Center,2
Seven Hills,India,1
Seven Hills,"London, England",1
Seven Hills Charter School,"Melbourne, Australia",1
Seven Hills Family Services,Worcester Community Project Center,1
Seven Hills Foundation,Worcester Community Project Center,8
Seven Hills Global Outreach,Puerto Rico,1
Seven Hills Pediatric Center,Worcester Community Project Center,1
Severn Rivers Trust,Namibia,3
Shalom Neighborhood Center,Worcester Community Project Center,3
"Shane French, CERES Education","Melbourne, Australia",1
Sharon Keld,"Ifrane, Morocco",8
Shaster Foundation,"Cape Town, South Africa",5
Shepherd Hill Regional High School,"Cape Town, South Africa",2
Shepherd Hill Regional High School,Costa Rica,2
"ShopSmart Limited, London, England","Washington, DC",4
SHPI Ingenieria,Costa Rica,2
"SHPIngeneria, SA",Costa Rica,2
Shrewsbury Parks and Recreation Department,Puerto Rico,1
Shukalb,Albania,1
SHUKALB and Harry Fultz High School,Albania,1
SIFAIS,Costa Rica,1
Simtable LLC,"Sante Fe, New Mexico",1
Sir Arthur Sullivan Society,"London, England",2
Sizakuyenza,"Cape Town, South Africa",4
Skanska,"Washington, DC",1
Smart City Research Center of Zhejiang Province,"Hangzhou, China",1
"Smart City Research Center, Hangzhou Dianzi Univer","Hangzhou, China",2
Smithsonian Institution,"Washington, DC",6
Smithsonian Institution,"Venice, Italy",2
Smithsonian Institution,Worcester Community Project Center,2
Snowy River Innovation,"Melbourne, Australia",2
Snowy River Innovation,Costa Rica,1
Social and Environmental Research Institute,"Sante Fe, New Mexico",4
Society for Technology and Development,Namibia,1
Society of Automotive Engineers,New Zealand,4
Sociology Dept of HDU,"Hangzhou, China",1
"Sociology Dept, Jose Gomez-Marquez, Student Pugwas","London, England",2
Soil for Life and Zero Emissions Research Initiati,"Cape Town, South Africa",3
Solar Decathlon,New Zealand,2
Solar Decathlon Africa,"London, England",1
SolidWorks,"Panama City, Panama",1
Solon Wandsworth Housing,"San Jose, Costa Rica",1
Sony Corporation of America,"Zurich, Switzerland",1
Soprintendenza all'Archeologia,"Venice, Italy",7
